campaign,zone,production_label,specie,production,yield_value,yield_unit
2021,41,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"72,0",quintal_per_hectare
2022,41,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,5",quintal_per_hectare
2023,41,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"72,0",quintal_per_hectare
2024,41,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"61,0",quintal_per_hectare
2025,41,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,5",quintal_per_hectare
2021,42,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,0",quintal_per_hectare
2022,42,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,0",quintal_per_hectare
2023,42,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,0",quintal_per_hectare
2024,42,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0",quintal_per_hectare
2025,42,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,0",quintal_per_hectare
2021,43,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"52,0",quintal_per_hectare
2022,43,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"33,0",quintal_per_hectare
2023,43,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"54,0",quintal_per_hectare
2024,43,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2025,43,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"45,0",quintal_per_hectare
2021,44,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"72,0",quintal_per_hectare
2022,44,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"72,2",quintal_per_hectare
2023,44,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"71,0",quintal_per_hectare
2024,44,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"49,0",quintal_per_hectare
2025,44,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0",quintal_per_hectare
2021,45,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"73,0",quintal_per_hectare
2022,45,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,5",quintal_per_hectare
2023,45,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"69,0",quintal_per_hectare
2024,45,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"63,0",quintal_per_hectare
2025,45,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"67,5",quintal_per_hectare
2021,46,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"47,2",quintal_per_hectare
2022,46,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"46,0",quintal_per_hectare
2023,46,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2024,46,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"46,0",quintal_per_hectare
2025,46,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"53,0",quintal_per_hectare
2021,47,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"55,0",quintal_per_hectare
2022,47,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2023,47,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"68,0",quintal_per_hectare
2024,47,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"50,0",quintal_per_hectare
2025,47,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"57,0",quintal_per_hectare
2021,48,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"44,0",quintal_per_hectare
2022,48,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"22,0",quintal_per_hectare
2023,48,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"47,0",quintal_per_hectare
2024,48,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"38,0",quintal_per_hectare
2025,48,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"35,0",quintal_per_hectare
2021,49,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"70,0",quintal_per_hectare
2022,49,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"66,2",quintal_per_hectare
2023,49,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"75,0",quintal_per_hectare
2024,49,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"56,0",quintal_per_hectare
2025,49,Blé tendre d'hiver,triticum_aestivum,winter_common_wheat,"65,0",quintal_per_hectare
