department,production_label,specie,production,2021,2022,2023,2024,yield_unit
83,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"41,8","28,9","28,6","43,1",quintal_per_hectare
84,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"48,0","33,0","30,3","43,2",quintal_per_hectare
2B,Blé dur d'hiver,triticum_durum,winter_hard_wheat,"65,0","65,0","40,0","45,0",quintal_per_hectare
77,Colza d'hiver,brassica_napus_napus,winter_rape,"36,0","42,0","35,0","30,8",quintal_per_hectare
78,Colza d'hiver,brassica_napus_napus,winter_rape,"37,0","42,0","33,0","31,9",quintal_per_hectare
91,Colza d'hiver,brassica_napus_napus,winter_rape,"37,0","41,0","34,0","31,0",quintal_per_hectare
93,Colza d'hiver,brassica_napus_napus,winter_rape,"37,0","44,0","33,9","32,1",quintal_per_hectare
94,Colza d'hiver,brassica_napus_napus,winter_rape,"37,0","41,0","34,2","31,1",quintal_per_hectare
95,Colza d'hiver,brassica_napus_napus,winter_rape,"37,0","44,0","34,0","32,0",quintal_per_hectare
18,Colza d'hiver,brassica_napus_napus,winter_rape,"32,0","31,0","27,0","22,0",quintal_per_hectare
28,Colza d'hiver,brassica_napus_napus,winter_rape,"37,0","40,0","34,0","31,0",quintal_per_hectare
36,Colza d'hiver,brassica_napus_napus,winter_rape,"33,0","33,0","28,0","22,0",quintal_per_hectare
37,Colza d'hiver,brassica_napus_napus,winter_rape,"34,0","31,0","30,0","25,0",quintal_per_hectare
41,Colza d'hiver,brassica_napus_napus,winter_rape,"35,0","36,5","33,0","28,0",quintal_per_hectare
45,Colza d'hiver,brassica_napus_napus,winter_rape,"32,0","34,0","32,0","29,0",quintal_per_hectare
21,Colza d'hiver,brassica_napus_napus,winter_rape,"30,0","35,0","31,0","32,0",quintal_per_hectare
25,Colza d'hiver,brassica_napus_napus,winter_rape,"32,0","34,0","34,0","31,0",quintal_per_hectare
39,Colza d'hiver,brassica_napus_napus,winter_rape,"32,0","34,0","33,0","32,0",quintal_per_hectare
58,Colza d'hiver,brassica_napus_napus,winter_rape,"31,0","31,0","28,0","24,0",quintal_per_hectare
70,Colza d'hiver,brassica_napus_napus,winter_rape,"31,0","35,0","33,0","33,0",quintal_per_hectare
71,Colza d'hiver,brassica_napus_napus,winter_rape,"32,0","38,0","35,0","33,0",quintal_per_hectare
89,Colza d'hiver,brassica_napus_napus,winter_rape,"32,0","33,0","30,0","29,0",quintal_per_hectare
90,Colza d'hiver,brassica_napus_napus,winter_rape,"31,0","35,0","33,0","33,0",quintal_per_hectare
14,Colza d'hiver,brassica_napus_napus,winter_rape,"39,0","42,0","35,0","35,0",quintal_per_hectare
27,Colza d'hiver,brassica_napus_napus,winter_rape,"37,0","42,0","35,0","32,0",quintal_per_hectare
50,Colza d'hiver,brassica_napus_napus,winter_rape,"36,0","42,0","34,0","32,0",quintal_per_hectare
61,Colza d'hiver,brassica_napus_napus,winter_rape,"34,0","38,0","33,0","27,0",quintal_per_hectare
76,Colza d'hiver,brassica_napus_napus,winter_rape,"33,0","45,0","36,0","32,0",quintal_per_hectare
02,Colza d'hiver,brassica_napus_napus,winter_rape,"32,0","44,0","36,0","32,0",quintal_per_hectare
59,Colza d'hiver,brassica_napus_napus,winter_rape,"35,0","48,0","39,0","34,0",quintal_per_hectare
60,Colza d'hiver,brassica_napus_napus,winter_rape,"35,0","43,0","34,0","32,0",quintal_per_hectare
62,Colza d'hiver,brassica_napus_napus,winter_rape,"33,0","47,0","39,0","33,0",quintal_per_hectare
80,Colza d'hiver,brassica_napus_napus,winter_rape,"34,0","43,0","37,0","33,0",quintal_per_hectare
08,Colza d'hiver,brassica_napus_napus,winter_rape,"27,0","42,0","31,0","30,0",quintal_per_hectare
10,Colza d'hiver,brassica_napus_napus,winter_rape,"30,0","41,5","33,0","31,0",quintal_per_hectare
51,Colza d'hiver,brassica_napus_napus,winter_rape,"29,5","42,0","34,0","32,0",quintal_per_hectare
52,Colza d'hiver,brassica_napus_napus,winter_rape,"26,0","36,0","29,0","34,8",quintal_per_hectare
54,Colza d'hiver,brassica_napus_napus,winter_rape,"26,5","34,0","28,0","30,0",quintal_per_hectare
55,Colza d'hiver,brassica_napus_napus,winter_rape,"24,0","35,0","27,0","31,0",quintal_per_hectare
57,Colza d'hiver,brassica_napus_napus,winter_rape,"26,0","35,5","28,0","29,0",quintal_per_hectare
67,Colza d'hiver,brassica_napus_napus,winter_rape,"34,0","38,0","37,0","30,0",quintal_per_hectare
68,Colza d'hiver,brassica_napus_napus,winter_rape,"38,0","40,0","39,0","34,0",quintal_per_hectare
88,Colza d'hiver,brassica_napus_napus,winter_rape,"30,0","35,0","31,0","33,0",quintal_per_hectare
44,Colza d'hiver,brassica_napus_napus,winter_rape,"35,0","36,1","28,0","23,0",quintal_per_hectare
49,Colza d'hiver,brassica_napus_napus,winter_rape,"36,0","31,1","29,0","22,0",quintal_per_hectare
53,Colza d'hiver,brassica_napus_napus,winter_rape,"36,0","37,1","31,0","25,0",quintal_per_hectare
72,Colza d'hiver,brassica_napus_napus,winter_rape,"35,0","35,1","32,0","25,0",quintal_per_hectare
85,Colza d'hiver,brassica_napus_napus,winter_rape,"36,0","30,0","24,0","21,0",quintal_per_hectare
22,Colza d'hiver,brassica_napus_napus,winter_rape,"34,0","41,1","31,7","29,3",quintal_per_hectare
29,Colza d'hiver,brassica_napus_napus,winter_rape,"34,0","38,4","29,2","30,4",quintal_per_hectare
35,Colza d'hiver,brassica_napus_napus,winter_rape,"36,4","39,6","32,5","27,3",quintal_per_hectare
56,Colza d'hiver,brassica_napus_napus,winter_rape,"35,8","39,0","31,3","29,5",quintal_per_hectare
16,Colza d'hiver,brassica_napus_napus,winter_rape,"39,0","29,0","28,0","30,0",quintal_per_hectare
17,Colza d'hiver,brassica_napus_napus,winter_rape,"39,0","29,0","30,0","29,0",quintal_per_hectare
19,Colza d'hiver,brassica_napus_napus,winter_rape,"30,0","28,0","35,0","23,0",quintal_per_hectare
23,Colza d'hiver,brassica_napus_napus,winter_rape,"34,0","36,0","35,0","31,0",quintal_per_hectare
24,Colza d'hiver,brassica_napus_napus,winter_rape,"34,0","27,0","31,0","27,0",quintal_per_hectare
33,Colza d'hiver,brassica_napus_napus,winter_rape,"25,0","26,0","25,0","22,0",quintal_per_hectare
40,Colza d'hiver,brassica_napus_napus,winter_rape,"25,0","27,0","25,0","22,0",quintal_per_hectare
47,Colza d'hiver,brassica_napus_napus,winter_rape,"24,0","27,0","24,0","23,0",quintal_per_hectare
64,Colza d'hiver,brassica_napus_napus,winter_rape,"24,0","26,0","26,0","24,0",quintal_per_hectare
79,Colza d'hiver,brassica_napus_napus,winter_rape,"38,0","29,0","30,0","26,0",quintal_per_hectare
86,Colza d'hiver,brassica_napus_napus,winter_rape,"37,0","31,0","30,0","25,0",quintal_per_hectare
87,Colza d'hiver,brassica_napus_napus,winter_rape,"27,0","33,0","30,0","28,0",quintal_per_hectare
