category,section,machine,prix_neuf_eur,s1_ha,s1_eur_h,s2_ha,s2_eur_h,s3_ha,s3_eur_h,perf_ha_h,review_flag
Semis,,"Semoir 6 m, 2 caisses, toutes options équipements identiques précédent,",139000.0,550,154.1,700,124.2,850,104.8,4.8,
Semis,,"Semoir 8 m, 2 caisses, toutes options équipements identiques précédent, Semoirs monograines : maïs, tournesol",190800.0,750,206.7,900,175.4,1050,153.1,6.4,
Semis,,Semoir 4 rangs Distribution mécanique,19675.0,60,31.8,90,21.8,120,16.9,1.0,
Semis,,Semoir 6 rangs simple monobarre,27300.0,100,53.5,125,43.6,150,37.0,2.0,
Semis,,"Semoir 6 rangs haut de gamme Télescop., ferti, micro, chasse-débris, Distrib. pneu, roulette rappuyage",40950.0,125,63.5,150,53.5,200,41.1,2.0,
Semis,,"Semoir 6 rangs haut de gamme Télescop., ferti, micro, chasse-débris, Distrib. élect, roulette rappuyage",59650.0,125,90.7,150,76.2,175,65.9,2.0,
Semis,,"Semoir 8 rangs Distribution pneumatique, Repliable",37700.0,150,62.0,175,53.8,200,47.7,2.5,
Semis,,"Semoir 8 rangs haut de gamme Repliable, ferti, micro, Distrib. pneu, roulette rappui",51700.0,175,72.0,200,63.6,225,57.1,2.5,
Semis,,"Semoir 8 rangs haut de gamme Repliable, ferti, micro, chasse débris, Distrib. élect., roulette rappui",76200.0,175,103.9,200,91.5,225,81.9,2.5,
Semis,,"Semoir 12 rangs haut de gamme Repliable, ferti, micro, chasse débris, Distrib. pneu, roulette rappui Semoirs monograines « rapides »",116800.0,250,191.1,300,160.6,400,122.6,4.3,
Semis,,"Semoir « rapide » 6 rangs, Entraînement électrique",44800.0,125,103.7,200,66.6,275,49.7,2.4,
Semis,,"Semoir « rapide » 8 rangs, entraînement électrique BARÈME D’ENTRAIDE - HORIZONS - 2026 u 21",62600.0,175,129.4,250,92.4,325,72.4,3.0,
Semis,,"Semoir « rapide » 12 rangs, Entraînement électrique, toutes options Semoirs à betteraves",140200.0,275,291.2,350,230.8,425,191.7,4.8,
Semis,,Mécanique monobarre 6 rangs enterrage socs,13000.0,50,28.3,65,22.2,80,18.4,1.0,
Semis,,Pneumatique 12 rangs enterrage socs,25000.0,100,54.6,125,44.4,150,37.6,2.0,
