category,section,machine,prix_neuf_eur,s1_ha,s1_eur_h,s2_ha,s2_eur_h,s3_ha,s3_eur_h,perf_ha_h,review_flag
Travail du sol profond/semi-profond,,"Chisel simple porté 6 m replilable 0,75 m sous bâti, sans rouleau 2 à 3 rangées, 3 à 4 dents/m",15130.0,100,42.4,150,29.5,200,23.1,2.5,
Travail du sol profond/semi-profond,,à bâcher Cultivateurs,23290.0,100,22.1,150,15.8,200,12.6,0.8,
Travail du sol profond/semi-profond,,"Cultivateur simple porté 3 m fixe 0,6 m sous bâti, sans rouleau 3 à 4 rangées, 4 à 6 dents/m",6090.0,60,12.9,80,10.1,100,8.4,1.2,
Travail du sol profond/semi-profond,,"Cultivateur simple porté 4 m fixe 0,6 m sous bâti, sans rouleau 3 à 4 rangées, 4 à 6 dents/m",11550.0,80,23.4,100,19.2,120,16.4,1.6,
Travail du sol profond/semi-profond,,"Cultivateur simple porté 6 m fixe 0,6 m sous bâti, sans rouleau 3 à 4 rangées, 4 à 6 dents/m Vibroculteurs",15750.0,100,39.6,150,27.6,200,21.7,2.5,
Travail du sol profond/semi-profond,,Combiné 4 m porté fixe rouleau av. + lame + rotoherse dents vibro sur 4 à 5 rangées,22260.0,80,66.7,100,54.6,120,46.5,2.4,
Travail du sol profond/semi-profond,,Combiné 4 m porté repliable rouleau av. + lame + rotoherse dents vibro sur 4 à 5 rangées,28040.0,80,82.5,100,67.2,120,57.0,2.4,
Travail du sol profond/semi-profond,,Combiné 6 m porté repliable rouleau av. + lame + rotoherse dents vibro sur 4 à 5 rangées u,42950.0,150,99.9,175,86.9,200,77.1,3.5,
Travail du sol profond/semi-profond,,Travail du sol profond ou semi-profond Combiné 6 m semi-porté rouleau av. + lame + rotoherse dents vibro sur 4 à 5 rangées,51460.0,150,117.9,175,102.3,200,90.6,3.5,
Travail du sol profond/semi-profond,,Combiné 8 m semi-porté rouleau av. + lame + rotoherse dents vibro sur 4 à 5 rangées,71410.0,175,198.0,200,174.8,250,142.4,5.0,
Travail du sol profond/semi-profond,,Vibroculteur rotoherse « VibroSem »,4240.0,60,8.3,80,6.7,100,5.8,1.0,
Travail du sol profond/semi-profond,,Vibroculteur packer « VibroSem »,9570.0,100,12.7,125,10.6,150,9.2,1.2,
Travail du sol profond/semi-profond,,"Vibroculteur 4,5 m, porté repliable 5 rangées, 8 à 10 dents/m rotoherse + lame nivellement",12600.0,80,39.2,100,32.3,120,27.7,2.4,
Travail du sol profond/semi-profond,,"Vibroculteur 6,5 m, porté repliable 5 rangées, 8 à 10 dents/m rotoherse + lame nivellement",18370.0,125,61.5,150,52.5,175,46.2,4.0,
Travail du sol profond/semi-profond,,"Vibroculteur 8,3 m, porté repliable 5 rangées, 8 à 10 dents/m rotoherse + lame nivellement Herses à dents rigides",21530.0,175,65.9,200,58.9,225,53.5,5.0,
Travail du sol profond/semi-profond,,"Herse plate légère, 5 compartiments",1920.0,80,7.2,100,6.1,120,5.4,2.5,
Travail du sol profond/semi-profond,,"Herse en Z, 6 m portée repliage hydraulique",6970.0,80,25.9,100,21.1,120,17.9,3.0,
Travail du sol profond/semi-profond,,"Herse lourde 8 m dents rigides terrage forcé, repliage hydraulique Préparation en ligne",16630.0,100,47.8,150,32.6,200,25.1,3.0,
Travail du sol profond/semi-profond,,Écartement 75/80 cm Sécurité boulon + attelage semoir,20870.0,50,66.5,75,47.6,100,38.1,1.5,
Travail du sol profond/semi-profond,,Écartement 75/80 cm Sécurité boulon + attelage semoir + repliable,30210.0,75,99.0,110,72.2,150,56.8,2.3,
Travail du sol profond/semi-profond,,Écartement 75/80 cm Sécurité non-stop + attelage semoir + repliable,41480.0,150,94.6,200,75.8,250,64.5,3.0,
Travail du sol profond/semi-profond,,Écartement 45/50 cm Sécurité boulon + attelage semoir,21240.0,50,58.5,75,41.8,100,33.4,1.3,
Travail du sol profond/semi-profond,,Écartement 45/50 cm Sécurité non-stop + attelage semoir,25240.0,50,78.5,75,55.5,100,44.0,1.5,
Travail du sol profond/semi-profond,,Écartement 45/50 cm Sécurité non-stop + attelage semoir,39070.0,75,91.4,100,71.3,125,59.2,1.7,
Travail du sol profond/semi-profond,,Écartement 45/50 cm Sécurité non-stop + attelage semoir BARÈME D’ENTRAIDE - HORIZONS - 2026 u 13,59800.0,150,128.0,200,100.8,250,84.5,3.0,
Travail du sol superficiel,,"Outils de travail du sol superficiel Déchaumeurs Néo déchaumeur 3 m porté fixe 2,2 à 2,5 dents/m + rouleau",13450.0,100,25.6,125,21.2,150,18.3,1.8,
Travail du sol superficiel,,"Néo déchaumeur 4 m porté repliable 2,2 à 2,5 dents/m + rouleau",28030.0,100,68.7,200,36.9,300,26.2,2.5,
Travail du sol superficiel,,"Néo déchaumeur 6 m porté repliable 2,2 à 2,5 dents/m + rouleau",54930.0,300,46.6,400,36.2,500,30.0,2.5,
Travail du sol superficiel,,"Déchaumeur 3 m porté fixe 3 à 3,5 dents/m,",21300.0,150,29.8,200,23.4,250,19.5,2.0,
Travail du sol superficiel,,"Déchaumeur 4 m porté repliable 3 à 3,5 dents/m,",36440.0,150,60.2,250,38.1,350,28.7,2.5,
Travail du sol superficiel,,"Déchaumeur 6 m semi-porté 3 à 3,5 dents/m,",67270.0,400,69.2,500,56.9,600,48.8,4.0,
Travail du sol superficiel,,Déchaumeur rapide 3 m disques indépendants < 600 mm + rouleau porté fixe,19060.0,100,66.5,150,47.0,200,37.2,2.5,
Travail du sol superficiel,,Déchaumeur rapide 4 m disques indépendants < 600 mm + rouleau porté repliable,30830.0,200,77.4,300,55.3,400,44.3,3.5,
Travail du sol superficiel,,Déchaumeur rapide 6 m disques indépendants < 600 mm + rouleau porté repliable,41480.0,350,106.5,450,87.1,550,74.7,6.0,
Travail du sol superficiel,,Déchaumeur rapide 7 m disques indépendants < 600 mm + rouleau semi-porté,59410.0,500,124.5,600,107.5,700,95.3,7.0,
Travail du sol superficiel,,"Déchaumeur rapide 3 m, disques indépendants > 600 mm + rouleau porté fixe",23550.0,50,152.5,100,80.2,150,56.2,2.5,
Travail du sol superficiel,,"Déchaumeur rapide 4 m, disques indépendants > 600 mm + rouleau porté repliable",41480.0,100,189.3,200,100.3,300,70.6,3.5,
Travail du sol superficiel,,"Déchaumeur rapide 6 m, disques indépendants > 600 mm + rouleau porté repliable",70000.0,300,191.0,400,148.0,600,105.1,6.0,
Travail du sol superficiel,,"Déchaumeur rapide 7 m, disques indépendants > 600 mm + rouleau semi-porté",80350.0,400,194.9,500,160.4,700,121.0,7.0,
Travail du sol superficiel,,"Combiné bêche roulante + disques + rouleaux,",66090.0,200,218.7,300,151.2,400,117.4,5.0,
Travail du sol superficiel,,"Combiné bêche roulante + disques + rouleaux, Les performances de ce type d’engins sont très variables. Elles dépendent très directement de la profondeur de travail (de 2 à 8 cm) et du sol (nature, direct sur culture ou en reprise, topographie, etc.). u",86330.0,400,207.8,500,170.7,600,146.0,7.0,
Travail du sol superficiel,,"Outils de travail du sol superficiel Options déchaumeur Semoir sur déchaumeur 150 1,5 Distribution mécanique 250 1,0 Semoir sur déchaumeur 50 9,9 Semoir sur déchaumeur 75 11,0 Semoir sur déchaumeur 100 9,5 par concession 200 4,8 Herses de déchaumage Amortissement 10 % sur 10 ans Herse 6,2 m",16820.0,600,23.4,700,20.9,800,19.0,7.0,
Travail du sol superficiel,,"Herse 7,2 m",17930.0,800,24.1,900,22.2,1000,20.7,8.5,
Travail du sol superficiel,,"Herse 8,6 m Pulvérisateurs en X à disques, pas de 230 mm + rouleau",19060.0,1000,25.3,1250,21.9,1500,19.6,10.0,
Travail du sol superficiel,,"Pulvériseur 3,20 m 28 disques châssis monobloc",34190.0,80,49.6,100,40.3,120,34.1,1.2,
Travail du sol superficiel,,"Pulvériseur 3,60 m 32 disques repliage manuel",35310.0,100,51.9,125,42.3,150,35.9,1.5,
Travail du sol superficiel,,Pulvériseur 4 m 36 disques châssis fixe,38110.0,100,74.3,150,51.2,200,39.7,2.0,
Travail du sol superficiel,,"Pulvériseur 4,40 m 40 disques repliage hydraulique",45410.0,150,66.1,200,50.9,300,35.8,2.2,
