Commune 2020;Libellé;Annee;Nb. Contrats
02208;Concevreux;2018;N/A - secret statistique
02209;Condé-en-Brie;2018;7
02210;Condé-sur-Aisne;2018;N/A - secret statistique
02211;Condé-sur-Suippe;2018;10
02212;Condren;2018;
02213;Connigis;2018;33
02214;Contescourt;2018;0
02215;Corbeny;2018;
02216;Corcy;2018;N/A - secret statistique
02217;Coucy-le-Château-Auffrique;2018;9
02218;Coucy-lès-Eppes;2018;18
02219;Coucy-la-Ville;2018;N/A - secret statistique
02220;Coulonges-Cohan;2018;13
02221;Coupru;2018;N/A - secret statistique
02222;Courbes;2018;N/A - secret statistique
02223;Courboin;2018;N/A - secret statistique
02224;Courcelles-sur-Vesle;2018;0
02225;Courchamps;2018;0
02226;Courmelles;2018;
02227;Courmont;2018;N/A - secret statistique
02228;Courtemont-Varennes;2018;77
02229;Courtrizy-et-Fussigny;2018;
02230;Couvrelles;2018;N/A - secret statistique
02231;Couvron-et-Aumencourt;2018;6
02232;Coyolles;2018;7
02233;Cramaille;2018;6
02234;Craonne;2018;N/A - secret statistique
02235;Craonnelle;2018;N/A - secret statistique
02236;Crécy-au-Mont;2018;N/A - secret statistique
02237;Crécy-sur-Serre;2018;80
02238;Crépy;2018;N/A - secret statistique
02239;Crézancy;2018;11
02240;Croix-Fonsomme;2018;6
02241;La Croix-sur-Ourcq;2018;N/A - secret statistique
02242;Crouttes-sur-Marne;2018;49
02243;Crouy;2018;86
02244;Crupilly;2018;N/A - secret statistique
02245;Cuffies;2018;
02246;Cugny;2018;N/A - secret statistique
02248;Cuirieux;2018;N/A - secret statistique
02249;Cuiry-Housse;2018;N/A - secret statistique
02250;Cuiry-lès-Chaudardes;2018;
02251;Cuiry-lès-Iviers;2018;
02252;Cuissy-et-Geny;2018;N/A - secret statistique
02253;Cuisy-en-Almont;2018;8
02254;Cutry;2018;N/A - secret statistique
02255;Cys-la-Commune;2018;
02256;Dagny-Lambercy;2018;N/A - secret statistique
02257;Dallon;2018;N/A - secret statistique
02258;Dammard;2018;N/A - secret statistique
02259;Dampleux;2018;N/A - secret statistique
02260;Danizy;2018;8
02261;Dercy;2018;N/A - secret statistique
02262;Deuillet;2018;
02263;Dhuizel;2018;0
02264;Dizy-le-Gros;2018;15
02265;Dohis;2018;
02266;Dolignon;2018;N/A - secret statistique
02267;Dommiers;2018;7
02268;Domptin;2018;22
02269;Dorengt;2018;8
02270;Douchy;2018;48
02271;Dravegny;2018;N/A - secret statistique
02272;Droizy;2018;N/A - secret statistique
02273;Dury;2018;N/A - secret statistique
02274;Ébouleau;2018;17
02275;Effry;2018;
02276;Englancourt;2018;N/A - secret statistique
02277;Épagny;2018;N/A - secret statistique
02278;Éparcy;2018;N/A - secret statistique
02279;Épaux-Bézu;2018;8
02280;Épieds;2018;N/A - secret statistique
02281;L'Épine-aux-Bois;2018;
02282;Eppes;2018;N/A - secret statistique
02283;Erlon;2018;14
02284;Erloy;2018;N/A - secret statistique
02286;Esquéhéries;2018;12
02287;Essigny-le-Grand;2018;10
02288;Essigny-le-Petit;2018;N/A - secret statistique
02289;Essises;2018;N/A - secret statistique
02290;Essômes-sur-Marne;2018;56
02291;Estrées;2018;N/A - secret statistique
02292;Étampes-sur-Marne;2018;N/A - secret statistique
02293;Étaves-et-Bocquiaux;2018;N/A - secret statistique
02294;Étouvelles;2018;0
02295;Étréaupont;2018;6
02296;Étreillers;2018;8
02297;Étrépilly;2018;N/A - secret statistique
02298;Étreux;2018;6
02299;Évergnicourt;2018;0
02302;Faverolles;2018;N/A - secret statistique
02303;Fayet;2018;9
02304;La Fère;2018;0
02305;Fère-en-Tardenois;2018;12
02306;La Ferté-Chevresis;2018;0
02307;La Ferté-Milon;2018;86
02308;Fesmy-le-Sart;2018;N/A - secret statistique
02309;Festieux;2018;
02310;Fieulaine;2018;9
02311;Filain;2018;10
02312;La Flamengrie;2018;15
02313;Flavigny-le-Grand-et-Beaurain;2018;6
02315;Flavy-le-Martel;2018;9
02316;Fleury;2018;20
02317;Fluquières;2018;
02318;Folembray;2018;9
02319;Fonsomme;2018;9
02320;Fontaine-lès-Clercs;2018;N/A - secret statistique
02321;Fontaine-lès-Vervins;2018;9
02322;Fontaine-Notre-Dame;2018;6
02323;Fontaine-Uterte;2018;6
02324;Fontenelle;2018;N/A - secret statistique
02326;Fontenoy;2018;31
02327;Foreste;2018;12
02328;Fossoy;2018;17
02329;Fourdrain;2018;N/A - secret statistique
02330;Francilly-Selency;2018;6
02331;Franqueville;2018;0
02332;Fresnes-en-Tardenois;2018;N/A - secret statistique
02333;Fresnes-sous-Coucy;2018;
02334;Fresnoy-le-Grand;2018;23
02335;Fressancourt;2018;N/A - secret statistique
02336;Frières-Faillouël;2018;N/A - secret statistique
02337;Froidestrées;2018;N/A - secret statistique
02338;Froidmont-Cohartille;2018;6
02339;Gandelu;2018;N/A - secret statistique
02340;Gauchy;2018;14
02341;Gercy;2018;
02342;Gergny;2018;N/A - secret statistique
02343;Germaine;2018;N/A - secret statistique
02345;Gibercourt;2018;0
02346;Gizy;2018;9
02347;Gland;2018;20
02349;Goudelancourt-lès-Berrieux;2018;
